7787318,434736,5.97
7782211,435098,9.45
7782877,440318,8.04
7776274,435051,4.75
7771608,435241,5.14
7765445,434457,4.74
7757296,433358,5.95
7756655,438216,5.65
7752401,438065,5.6
7748014,432184,4.11
7747183,437886,7.22
7741641,438298,4.18
7737194,442439,2.92
7683489,434683,4.64
7682464,439806,6.41
7681991,447235,5.17
7681379,452406,7.58
7681358,458747,6.72
7687260,458240,7.49
7693745,459028,4.86
7700043,458903,5.91
7695117,452763,6.01
7688545,452464,6.94
7689261,446148,4.58
7689477,440418,4.91
7689098,477216,4.96
7685273,477397,7.74
7685202,473886,8.9
7685079,469280,4.51
7689331,474097,5.2
7689237,469220,4.11
7689179,465221,4.29
7684479,464009,5.02
7689950,486863,3.94
7689318,483184,4.96
7696918,445077,7.81
7692960,440556,4.52
7678307,465319,5.96
7679219,469237,5.49
7679512,474222,5.89
7680750,478391,5.04
7685643,487341,7.71
7749914,499922,4.55
7748105,496047,5.6
7745579,491792,6.74
7742570,486193,6.26
7738630,402376,6.01
7736176,398776,4.41
7740118,396229,7.81
7740904,391132,4.46
7738444,390086,5.46
7744587,391289,3.67
7743913,386657,5.04
7749434,390916,3.63
7748678,395450,3.64
7753487,419201,5.19
7758641,410781,4.84
7759990,413035,4.64
7762687,404645,3.98
7757573,404304,6.71
7754446,400827,4.41
7753493,406693,4.73
7751506,414537,4.24
7750598,418871,4.59
7740160,419653,5.74
7732530,413425,4.18
7734608,395013,4.42
7732910,389086,5.71
7731321,387446,7.31
7730869,391787,6.27
7728331,394209,11.14
7729990,382890,6.85
7727439,380855,11.85
7727418,386152,6.11
7724430,386401,9.08
7720581,392205,10.04
7718970,386520,4.6
7720915,382723,5.23
7714381,381637,5.1
7709242,380330,5.78
7693434,387470,4.01
7690115,389438,4.91
7685951,391811,4.9
7678927,386958,6.86
7678889,382681,6.21
7738371,495607,4.66
7735729,480791,5.15
7729391,483717,5.17
7735141,498736,4.22
7735080,495698,4.81
7754360,489401,5.72
7756082,481813,5.4
7719435,495359,4.96
7726622,498787,4.22
7726396,495974,4.87
7728776,495711,4.83
7731985,495509,4.56
7730723,490333,5.48
7730065,486648,4.07
7732310,482913,4.87
7731593,471491,4.19
7731434,467893,4.96
7744249,497781,4.55
7742802,491029,4.9
7743460,494222,4.22
7728053,491874,4.86
7726670,488150,5.19
7723279,485088,5.25
7723165,479775,5.13
7751296,492929,5.49
7741538,483225,5.21
7739898,479437,4.67
7746658,477670,9.69
7746831,473728,9.58
7736673,468650,7.81
7741268,468593,7.57
7740849,472376,6.85
7737196,471952,7.83
7736487,464102,4.59
7736294,460018,7.37
7741394,459164,7.34
7745382,457579,7.15
7745142,461467,5.96
7741831,463693,5.94
7749217,462153,7
7749356,457123,7.22
7748807,452977,6.26
7753490,453300,7.92
7753359,457278,8.76
7753314,461695,8.19
7752007,496798,4.7
7763730,475338,3.45
7757361,449783,8.32
7757423,453723,6.96
7757368,457286,8.03
7757319,462151,8.33
7735574,472059,9.47
7734465,476206,10
7728144,464715,7.69
7728209,468840,10.07
7726405,471422,4.75
7724026,469566,5.06
7724157,466287,5.55
7720545,466770,4.88
7720718,471228,9.91
7720843,475279,13.96
7724389,475194,12.14
7719968,479457,9.63
7717150,474885,12.64
7715323,471631,11.11
7717435,469100,11.33
7758899,487574,4.21
7764823,473369,5.01
