X,Y,Cu
7782136,475288,221.3
7781562,477750,130.7
7787762,480236,56.3
7787784,480098,203.9
7785957,477655,43.8
7786775,478594,98.7
7781561,461523,28.6
7764320,469295,60.5
7762792,465289,46.8
7777247,458310,37
7780273,454556,89.4
7783547,465734,59.3
7783485,467029,39.4
7784226,486369,139.5
7781831,487341,243.3
7785860,481957,106.7
7784645,471113,59.6
7785302,474453,72.1
7779695,484532,109.5
7777932,480962,97.5
7783745,482162,133.9
7781642,483982,158.3
7778464,478697,67.6
7766197,498606,26.8
7770339,495830,72.4
7769665,492572,140.2
7781897,498502,23
7778857,495205,75.9
7773436,494523,58.4
7766249,472757,57.4
7779353,470743,231.9
7774777,466125,92.8
7774168,470138,92.6
7779110,474535,163.2
7776905,472269,97.5
7769044,480914,73
7738775,490675,37.1
7787537,429224,41.1
7787566,425094,39.8
7782340,424353,41.1
7782400,429315,30
7776427,429019,29.1
7770840,427943,25
7764768,427544,21.4
7757564,427090,45.5
7690342,424072,23.5
7686169,424301,28.2
7682373,424213,23.9
7678553,423123,36.7
7684390,428444,22.1
7694715,424032,18.2
7710901,425013,17.8
7752360,427275,24.2
7748338,427484,30
7723862,444009,27.8
7712147,444568,32.7
7711976,439224,33.1
7718216,444279,34.5
7723835,438639,18
7730445,443407,34.6
7694136,468539,23.8
7692729,473893,28.1
7693644,478669,43.4
7694798,482793,50.1
7696559,487040,32.2
7698595,499267,74.6
7697593,495013,42.8
7697744,491501,50.7
7694710,463207,21.9
7678942,483452,71.6
7678260,491533,48.7
7680739,499168,141
7678518,495680,66.1
7678427,433625,32.9
7681197,486583,68.6
7690791,386072,48.9
7685606,385380,72.8
7686086,498425,66.6
7684227,495522,61.9
7779344,418135,45.5
7778680,414132,40.2
7776248,409222,31.6
7780117,404683,41
7775970,404295,50.4
7771044,405052,35.2
7766800,405178,26.8
7723480,420199,17.6
7724067,415226,18.5
7728047,414601,16.5
7730926,409075,21.5
7728546,406858,18.1
7731204,403308,18.6
7766121,412519,28.8
7770553,411449,36.4
7767168,399370,27.4
7771482,398508,22.6
7774933,399316,23.8
7778770,399464,41.4
7782133,399676,40.9
7785560,398378,27.3
7687071,419482,30.3
7689076,415523,25.7
7690337,411415,26.1
7695434,407553,17.4
7693165,388997,16.8
7696530,393717,21.6
7693451,396881,17.9
7762401,395434,15.9
7767083,395401,20.9
7774520,396114,27.7
7777237,394937,32.8
7781134,394341,27.7
7785317,393369,24
7787052,388772,21
7782468,384693,42.5
7778281,388738,48.8
7737497,416871,17.7
7737883,414919,17.1
7736555,413154,17.2
7735304,410493,17.6
7737317,410493,15.6
7715232,466759,72
7712006,469402,49.1
7709379,474327,43.7
7710973,480192,29.7
7712870,483620,38.2
7717955,495934,41.9
7718554,499022,34.8
7717999,491003,55.7
7714089,485661,43.9
7761697,390561,26.1
7761864,385079,14.6
7749083,386433,21.8
7748375,382990,26.4
7786660,385458,34.6
7777624,386354,114.8
7773654,386870,98.1
7770743,389882,60.4
7769421,385533,556
